codeid;signatures;contract_type;permit_check
283219977;['0bf318a3', '614cb904', '82771c8e', '9c1e03a0', 'c71a7aea', 'cddaf241', 'f9cb6d7a', 'fc0c546a'];Unknown;permit function missing
267115374;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '66188463', '70a08231', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
248484322;['0d6bec6f', '4e6e6928', '69df3671', 'c20ec5dc', 'cb12b48f', 'e4a41c7f'];Unknown;permit function missing
282065122;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '5f56b6fe', '66188463', '70a08231', '715018a6', '8da5cb5b', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1176841803;['8b418713', 'badbb0bf', 'ce606ee0', 'f3fef3a3', 'ff8af6fb'];Unknown;permit function missing
1597832617;['06fdde03', '095ea7b3', '18160ddd', '193bf2ee', '23b872dd', '313ce567', '39509351', '6d1b229d', '70a08231', '95d89b41', 'a457c2d7', 'a9059cbb', 'd71c9c12', 'dd62ed3e', 'f0dda65c'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
890897532;['0946e807', '0f144a48', '14c44e09', '4db8cfd4', '50050769', '66bd08e5', '82d0f761', '8905fd4f', '8ce71935', '8da5cb5b', 'f2fde38b'];Unknown;permit function missing
196750426;[];Unknown;permit function missing
362983021;['0a116af8', '14131caf', '4bf61d10', '949b61c2', 'a6a1497e', 'cd94779f', 'eaece923'];Unknown;permit function missing
171737557;[];Unknown;permit function missing
258439358;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '66188463', '70a08231', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
442230395;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '3eaaf86b', '70a08231', '79ba5097', '8da5cb5b', '95d89b41', 'a293d1e8', 'a9059cbb', 'b5931f7c', 'cae9ca51', 'd05c78da', 'd4ee1d90', 'dc39d06d', 'dd62ed3e', 'e6cb9013', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1559386489;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '29605e77', '313ce567', '39509351', '40c10f19', '42966c68', '4456eda2', '570ca735', '70a08231', '715018a6', '79cc6790', '8da5cb5b', '95d89b41', 'a457c2d7', 'a9059cbb', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
340793960;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '70a08231', '88d695b2', '95d89b41', 'a9059cbb', 'bd16e18e', 'cae9ca51', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
292270427;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '66188463', '70a08231', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1151821379;['0d4e2ed7', '25c4248c', '2d296bf1', '3845ac55', '525778da', '8da5cb5b', 'cb6c88d5', 'd7f1a877', 'da76d5cd', 'e90d303a'];Unknown;permit function missing
274887239;['16243356', '38af3eed', '6e15266a', '834ee417', '86d1a69f', '8da5cb5b', '9b7faaf0', '9e1a4d19', 'a4e2d634', 'f2fde38b', 'f83d08ba', 'fa2a8997'];Unknown;permit function missing
298201288;['0c5667d4', '5a271ed7', '79f14538', 'c5d8e8db', 'c65019f0'];Unknown;permit function missing
1119461133;[];Unknown;permit function missing
280189556;['05d2035b', '06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '40c10f19', '42966c68', '66188463', '70a08231', '7d64bcb4', '8da5cb5b', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
275254454;['00541756', '06fdde03', '119cbed6', '1769f049', '313ce567', '392ee145', '42318e3d', '498a4c2d', '54659685', '5ac849d2', '62ebcdcf', '634fe2a6', '70a08231', '7a71dee0', '7ccc7e94', '8298c5dc', '83197ef0', '8b7afe2e', '95d89b41', '9902ef5b', '9d1be930', 'a9059cbb', 'ad093409', 'afda2dac', 'b04a3f1c', 'b4999e85', 'b5402ec3', 'b7caf50a', 'd0e30db0', 'd5e3fbb2', 'edde8349', 'ee815eae', 'f3ac3df5', 'f604620a', 'f88649a1', 'fbe6a9b2'];ERC20+ERC721+ERC777+ERC3525;permit function missing
242175349;['04bbc255', '0e1d2ec8', '18a4155e', '4f97f97f', '57dc2658', '69ea1771', '84e3ac94', '8da5cb5b', '8e768288', 'f14ae17d', 'f2fde38b'];Unknown;permit function missing
575853417;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '27e235e3', '313ce567', '378dc3dc', '387e971c', '54fd4d50', '5c658165', '70a08231', '95d89b41', 'a9059cbb', 'af42d5f0', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
275741933;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '66188463', '70a08231', '81830593', '8da5cb5b', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
283883216;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '54fd4d50', '70a08231', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1167343219;['0774077d', '0815c79d', '0ca7f225', '159e732c', '1c17a56b', '3831534b', '4b41910b', '51a6daa9', '66666aa9', '7bac694c', '87729617', '8f32d59b', '940ca730', 'a8590321', 'b24cf5d7', 'b2bdfa7b', 'b7d565d0', 'd212a69a', 'e2eb41ff', 'e3776498', 'f2fde38b'];Unknown;permit function missing
257164882;['04bbc255', '18a4155e', '84e3ac94', '8e768288', 'f14ae17d'];Unknown;permit function missing
1209669992;['05d2035b', '06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '355274ea', '35942bf7', '37e47ae4', '39509351', '3c7233f6', '40c10f19', '42966c68', '4cd412d5', '54fd4d50', '5c975abb', '70a08231', '715018a6', '79cc6790', '7d64bcb4', '8980f11f', '8da5cb5b', '8e9e504b', '95d89b41', 'a457c2d7', 'a9059cbb', 'b187984f', 'dd62ed3e', 'e79ca203', 'f1b50c1d', 'f2fde38b', 'fadad4fb'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
285302022;['019c245a', '0c1f6d68', '3ca6152a', '624f4862', '80fd1451', '9cc2b780', '9df92d33', 'a8598288', 'b1dada6a', 'ec556889'];Unknown;permit function missing
613059216;['015008b1', '018a25e8', '06fdde03', '10f01eba', '24c33d33', '38337f72', '3ccfd60b', '4b227176', '624ae5c0', '63066434', '747dff42', '80018c5c', '95d89b41', 'a2bccae9', 'aeeed0db', 'c7e284b8', 'db87e4bd', 'de7874f3', 'e99fa417', 'ee0b5d8b'];ERC20;permit function missing
741706098;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79ba5097', '8da5cb5b', '95d89b41', 'a9059cbb', 'ba0fb861', 'd4ee1d90', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
196535709;[];Unknown;permit function missing
1447058792;['c2722916', 'd0797f84'];Unknown;permit function missing
1195775618;['0111efb7', '3fc8cef3', '4048a257', '5b769f3c', '715018a6', '806ad57e', '85ecb013', '8b0f4af9', '8da5cb5b', '8efecdda', '8f32d59b', 'aa156645', 'c4f987a5', 'cb2394d8', 'f2fde38b', 'fa09e630'];Unknown;permit function missing
281390385;['0bf318a3', '614cb904', '82771c8e', '9c1e03a0', 'c71a7aea', 'cddaf241', 'f9cb6d7a', 'fc0c546a'];Unknown;permit function missing
318248901;['018a25e8', '06fdde03', '079ce327', '0f15f4c0', '10f01eba', '11a09ae7', '24c33d33', '2660316e', '2ce21999', '2e19ebdc', '349cdcac', '3ccfd60b', '3ddd4698', '49cc635d', '5893d481', '624ae5c0', '63066434', '685ffd83', '747dff42', '82bfc739', '8f38f309', '8f7140ea', '921dec21', '95d89b41', '98a0871d', 'a2bccae9', 'a65b37a1', 'b483c054', 'c519500e', 'c7e284b8', 'ce89c80c', 'cf808000', 'd53b2679', 'd87574e0', 'de7874f3', 'ed78cf4a', 'ee0b5d8b'];ERC20;permit function missing
243711322;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '5a3b7e42', '5c6bcad4', '70a08231', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1352736263;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '27e235e3', '313ce567', '40c10f19', '55eff2f6', '5c658165', '70a08231', '8da5cb5b', '95d89b41', 'a9059cbb', 'dd62ed3e', 'f2fde38b', 'ff9913e8'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1103938813;['0359fea9', '17d7de7c', '1be05289', '1f1fcd51', '1fe4a686', '2e1a7d4d', '51cff8d9', '5aa6e675', '6c6c7e05', '722713f7', '7b0a47ee', '7c000293', '853828b6', '8bc7e8c4', '92eefe9b', '9e447fc6', '9ec5a894', 'ab033ea9', 'ac1e5025', 'be9b89f4', 'c1a3d44c', 'c8f33c91', 'd0e30db0', 'd18e81b3', 'd5c1ff73', 'd6f19262', 'f77c4791'];Unknown;permit function missing
341967636;['04bbc255', '16f4d022', '18a4155e', '55c081d4', '69ea1771', '84e3ac94', '8da5cb5b', '8e768288', 'f14ae17d', 'f2fde38b'];Unknown;permit function missing
163009439;[];Unknown;permit function missing
270428707;['01bf6648', '06fdde03', '095ea7b3', '1459cef4', '158ef93e', '18160ddd', '19ab453c', '23b872dd', '27e235e3', '313ce567', '3d3eb22a', '47ee0394', '5c658165', '66605ba4', '6a28f000', '70a08231', '81fbf0a5', '8da5cb5b', '95d89b41', 'a9059cbb', 'b7540d9f', 'cae9ca51', 'dc39d06d', 'dd62ed3e', 'df41d979', 'e3a83290', 'e988998a'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
128122450;['09bd5a60', '27dc297e', '41c0e1b5', '71e2d919', 'b11558ee', 'f20eaeb8'];Unknown;permit function missing
633611543;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '39509351', '3f4ba83a', '46fbf68e', '5c975abb', '6ef8d66d', '70a08231', '715018a6', '82dc1ec4', '8456cb59', '8da5cb5b', '8f32d59b', '95d89b41', 'a457c2d7', 'a9059cbb', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
245946389;['05e53535', '1c75f085', '1df224c1', '3138d328', '3a3e8e84', '5c4978e0', '6690864e', '69a75868', '6e1f777d', '6e441752', '708260b4', '7bdef3f8', '7d64bcb4', '7e3d45ef', '7e6beae1', '862b525c', '8da5cb5b', '8edcf21d', '95623641', 'a441c302', 'a497d8c6', 'a878ad27', 'ad48d611', 'be9d89c5', 'c132dd4f', 'cf1c316a', 'd2548393', 'd53ce956', 'de8c85ea', 'f2fde38b', 'fae92612', 'fc0c546a', 'fd6dd889', 'fe9fbb80'];Unknown;permit function missing
623477777;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '3bed33ce', '42966c68', '6623fc46', '70a08231', '8da5cb5b', '95d89b41', 'a9059cbb', 'cd4217c1', 'd7a78db8', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
299302860;['575bfc46', 'a3e76c0f'];Unknown;permit function missing
262412167;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79c65068', '79cc6790', '8da5cb5b', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
658405470;['27183629', '2d580ef6', '3a67d0b0', '40c10f19', '64afab72', '8f283970', '993e0b5b', 'bf0d88ae', 'f4ff78bf'];Unknown;permit function missing
320130133;['06fdde03', '095ea7b3', '0dcf4b8f', '18160ddd', '23b872dd', '313ce567', '6388fafa', '64acdb77', '70a08231', '78bb9e54', '8da5cb5b', '8f580996', '95d89b41', '98b01fe3', 'a9059cbb', 'da040c0f', 'dd5f63fd', 'dd62ed3e', 'fdf372ad'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
